,s-1l,s-1u,s-2l,s-2u
228629,0.05434797706750593,0.0,0.05434797706750593,0.0
228635,0.004907608034511846,0.0,0.053684234644139295,0.0
228638,0.053684234644139295,0.0,0.0,0.0
228639,0.053684234644139295,0.0,0.0,0.0
228640,0.053684234644139295,0.0,0.0,0.0
228641,0.053684234644139295,0.0,0.0,0.0
228642,0.053684234644139295,0.0,0.0,0.0
228643,0.053684234644139295,0.0,0.0,0.0
228644,0.053684234644139295,0.0,0.0,0.0
228645,0.053684234644139295,0.0,0.0,0.0
228648,4.656612875245797e-10,0.0,0.0008388161663146765,0.0
228650,0.0,0.0,4.656612875245797e-10,0.0
228651,0.0,0.0,4.656612875245797e-10,0.0
228652,0.0,0.0,4.656612875245797e-10,0.0
228658,0.005189895632299546,0.0,0.005031891169507006,0.0
228660,6.55325129933341e-06,0.0,0.005189895632299546,0.0
228663,4.656612875245797e-10,0.0,0.0,0.0
228664,4.656612875245797e-10,0.0,0.0,0.0
228665,4.656612875245797e-10,0.0,0.0,0.0
228666,4.656612875245797e-10,0.0,0.0,0.0
228667,4.656612875245797e-10,0.0,0.0,0.0
228668,4.656612875245797e-10,0.0,0.0,0.0
228669,4.656612875245797e-10,0.0,0.0,0.0
228670,4.656612875245797e-10,0.0,0.0,0.0
228671,4.656612875245797e-10,0.0,0.0,0.0
228672,4.656612875245797e-10,0.0,0.0,0.0
228673,4.656612875245797e-10,0.0,0.0,0.0
228674,4.656612875245797e-10,0.0,0.0,0.0
228676,0.05196380617654128,0.0,4.656612875245797e-10,0.0
228678,0.00543663651004277,0.0,0.05196380617654128,0.0
228681,0.00543663651004277,0.0,0.00543663651004277,0.0
228683,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228684,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228685,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228686,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228687,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228688,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228689,3.5492703335123464e-05,0.0,0.00543663651004277,0.0
228691,0.0,0.0,3.5492703335123464e-05,0.0
228692,0.0,0.0,3.5492703335123464e-05,0.0
228693,0.0,0.0,3.5492703335123464e-05,0.0
228695,0.9999915962107441,1.0,0.0,0.0
228697,0.004907608034511846,0.0,0.9999915962107441,1.0
228700,0.05390167238838117,0.0,0.0,0.0
228701,0.05390167238838117,0.0,0.0,0.0
228702,0.05390167238838117,0.0,0.0,0.0
228703,0.05390167238838117,0.0,0.0,0.0
228704,0.05390167238838117,0.0,0.0,0.0
228705,0.05390167238838117,0.0,0.0,0.0
228709,0.00020918203527535407,0.0,0.00020918203527535407,0.0
228711,4.656612875245797e-10,0.0,0.00020918203527535407,0.0
228712,4.656612875245797e-10,0.0,0.00020918203527535407,0.0
228713,4.656612875245797e-10,0.0,0.00020918203527535407,0.0
228714,4.656612875245797e-10,0.0,0.00020918203527535407,0.0
228715,4.656612875245797e-10,0.0,0.00020918203527535407,0.0
228717,0.9999915962107441,1.0,4.656612875245797e-10,0.0
228718,0.9999915962107441,1.0,4.656612875245797e-10,0.0
228719,0.9999915962107441,1.0,4.656612875245797e-10,0.0
228721,0.004907608034511846,0.0,0.9999915962107441,1.0
228724,0.009670376782152046,0.0,0.0,0.0
228725,0.009670376782152046,0.0,0.0,0.0
228726,0.009670376782152046,0.0,0.0,0.0
228727,0.009670376782152046,0.0,0.0,0.0
228728,0.009670376782152046,0.0,0.0,0.0
228729,0.009670376782152046,0.0,0.0,0.0
228733,0.00020906282598574777,0.0,0.00020906282598574777,0.0
228735,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228736,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228737,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228738,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228739,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228740,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228741,9.313225750491594e-10,0.0,0.00020906282598574777,0.0
228743,0.004907608034511846,0.0,9.313225750491594e-10,0.0
228746,0.008927360181197226,0.0,0.0,0.0
228747,0.008927360181197226,0.0,0.0,0.0
228748,0.008927360181197226,0.0,0.0,0.0
228749,0.008927360181197226,0.0,0.0,0.0
228750,0.008927360181197226,0.0,0.0,0.0
228751,0.008927360181197226,0.0,0.0,0.0
228755,0.0002090255730827458,0.0,0.0002090255730827458,0.0
228757,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228758,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228759,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228760,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228761,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228762,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228763,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228764,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228765,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228766,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228767,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228768,9.313225750491594e-10,0.0,0.0002090255730827458,0.0
228770,0.021587297330418274,0.0,9.313225750491594e-10,0.0
228771,0.021587297330418274,0.0,9.313225750491594e-10,0.0
228772,0.021587297330418274,0.0,9.313225750491594e-10,0.0
228773,0.021587297330418274,0.0,9.313225750491594e-10,0.0
228774,0.021587297330418274,0.0,9.313225750491594e-10,0.0
